"","id","original_title","title","original_language","overview","tagline","release_date","poster_path","popularity","vote_count","vote_average","budget","revenue","runtime","status","adult","backdrop_path","genre_names","collection","collection_name"
"1",760161,"Orphan: First Kill","Orphan: First Kill","en","After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.","There's always been something wrong with Esther.",2022-07-27,"/pHkKbIRoCe7zIFvqan9LFSaQAde.jpg",5088.584,902,6.9,0,9572765,99,"Released",FALSE,"/5GA3vV1aWWHTSDO5eno8V5zDo8r.jpg","Horror, Thriller",760193,"Orphan Collection"
"10",760104,"X","X","en","In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.","Dying to show you a good time.",2022-03-17,"/woTQx9Q4b8aO13jR9dsj8C9JESy.jpg",543.67,1035,6.8,1e+07,14257609,106,"Released",FALSE,"/21ldFAokKVjwzi1SHXoPb5gc7md.jpg","Horror, Mystery, Thriller",950289,"X Collection"
"100",22894,"Legion","Legion","en","When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.","When the last angel falls, the fight for mankind begins.",2010-01-21,"/ykocDqwg5PRUopnBVb1x1DWnEJF.jpg",110.404,2190,5.8,2.6e+07,67918658,100,"Released",FALSE,"/jGyIsNQBQ17G92ZxuTErrMl6W1e.jpg","Action, Fantasy, Horror",NA,NA
"101",663712,"Terrifier 2","Terrifier 2","en","After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.","Who's laughing now?",2022-10-06,"/wRKHUqYGrp3PO91mZVQ18xlwYzW.jpg",109.994,1,8,0,0,138,"Released",FALSE,"/y5Z0WesTjvn59jP6yo459eUsbli.jpg","Horror, Thriller",727761,"Terrifier Collection"
"102",948,"Halloween","Halloween","en","Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.","The Night He Came Home!",1978-10-24,"/qVpCaBcnjRzGL3nOPHi6Suy0sB6.jpg",109.29,4421,7.6,325000,70274000,91,"Released",FALSE,"/aRka9neADW1M0Zf9lF8kW2jEgXe.jpg","Horror, Thriller",91361,"Halloween Collection"
"103",10585,"Child's Play","Child's Play","en","A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed by the soul of a serial killer.",NA,1988-11-09,"/7jrOhGtRh6YK7sMfvH1E1f36aVx.jpg",108.342,2335,6.6,9e+06,44196684,87,"Released",FALSE,"/fCsi39CuitAmLSUvUy1EWmKETNx.jpg","Horror",10455,"Child's Play Collection"
"104",139038,"A Haunted House","A Haunted House","en","Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.","This $*%! ain't paranormal.",2013-01-11,"/skQt53YE2iyOftXj5afJkHmYxLW.jpg",108.186,1499,5.8,2500000,60141683,86,"Released",FALSE,"/akKBMXHEesqfuoYFt7LaRptFAO0.jpg","Comedy, Horror",251937,"A Haunted House Collection"
"105",442249,"The First Purge","The First Purge","en","To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation.","A Nation Reborn",2018-07-04,"/litjsBoiydO6JlO70uOX4N3WnNL.jpg",108.11,3413,6,1.3e+07,137056262,97,"Released",FALSE,"/1hJbE72WiRuWH11QPNiHsvt29xA.jpg","Action, Horror, Thriller",256322,"The Purge Collection"
"106",346364,"It","It","en","In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.","Your fears are unleashed",2017-09-06,"/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg",106.786,16900,7.2,3.5e+07,701842551,135,"Released",FALSE,"/tcheoA2nPATCm2vvXw2hVQoaEFD.jpg","Fantasy, Horror",477962,"It Collection"
"107",998340,"Smile","Smile","en","Smile follows the story of Mr O'Shea, a psychotic, short tempered Middle aged man mourning the recent loss of his family. We follow him and see how he deals with an average day of his life as he has no patience and will do regrettable things without thinking twice about the consequences.",NA,2016-11-16,"/7tSavV62A1uXTiWb8VuOjRwcAij.jpg",106.579,0,0,0,0,15,"Released",FALSE,NA,"Horror",NA,NA
"108",280002,"The Remaining","The Remaining","en","When a group of close-knit friends assemble for the marriage of Skylar and Dan, they have no idea they will witness The Rapture and face a series of catastrophic events turning the celebration into a life-or-death struggle.","After the rapture, there are fates worse than death.",2014-08-25,"/sjw5d110lXV4tWgqKG1hGOphchT.jpg",106.016,285,5.7,0,1169603,88,"Released",FALSE,"/bLI7uIY9Y1vDkx1Bt6Crn2NJELL.jpg","Horror, Thriller",NA,NA
"109",591274,"Fear Street: 1978","Fear Street: 1978","en","In 1978, two rival groups at Camp Nightwing must band together to solve a terrifying mystery when horrors from their towns' history come alive.","Find the truth.",2021-07-08,"/5dNTxhoGDTHHGqUTdxcr4H1dqlU.jpg",105.156,1406,7.3,0,0,110,"Released",FALSE,"/ty07O9dxVktYaQD1SLdKS20mr79.jpg","Fantasy, Horror, Mystery",790370,"Fear Street Collection"
"11",836225,"The Exorcism of God","The Exorcism of God","en","An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.","God and the Devil cannot exist in the same body.",2022-03-11,"/hangTmbxpSV4gpHG7MgSlCWSSFa.jpg",537.252,637,7.3,1500000,0,98,"Released",FALSE,"/b1L7qevxiVpkVFq4dmdQPGFPWH0.jpg","Horror",NA,NA
"110",760195,"Separation","Separation","en","A young girl finds solace in her artist father and the ghost of her dead mother.","It won't let go.",2021-04-30,"/lHbSC2Np17CRsRXIbaE0YY1Hora.jpg",104.611,161,5.8,0,0,107,"Released",FALSE,"/n9Z0uiorAvtZp0CmNRFlw78jw1E.jpg","Drama, Horror",NA,NA
"111",768447,"Motherly","Motherly","en","Kate and her daughter Beth live alone in an isolated farmhouse in the woods, but when Kate slowly begins to suspect that something sinister is happening, her motherly instincts are put to the test.",NA,2022-08-04,"/wmh1likQEetSLIUs5MAvfWjEayY.jpg",104.32,8,6,0,0,90,"Released",FALSE,"/ugZbX5lKx4L9ONEu0WTNbR96J0t.jpg","Horror, Thriller",NA,NA
